код ТТ;Название ТТ;Широта;Долгота;Продажи;Кластер;Нов продажи с корректировкой 25;Топ/аут;Потенциал продаж;Субканал (формат);Ассортимент,добавить sku:;Цена, снизить sku:;Выкладка на ХП, добавить:;Выкладка на ТП, добавить:;Оборудование, добавить:;ДМП, добавить:
298790001363057;ПивТрест;55,141202;61,375811;5.79097293970378;Бирбутики223;6,370070234;0;0,1;Бирбутики;10;;;;1;
298790001367732;Allu food&wine;55,154779;61,366351;0.213593037800188;Ресторан, бар, отель203;4,593272593;0;0,2;Ресторан Advanced;4;;;;;
298790001366406;27707-Пятерочка;55,178032;61,330006;43.0844994730078;ПродуктСО413;82,35002502;0;0,2;Конвиниенс;10;;12;10;;
298790001366405;Ч74117 Челябинск Хмельницк27;55,258135;61,384363;13.7225504590155;ПродуктСО503;28,7929638;0;0,2;Жесткие Дискаунтеры;10;;;;;
298790001368256;ИП Ольховский Олег Евгеньевич;55,1656265258789;61,4026985168457;28.6934344353768;Ресторан, бар, отель203;28,69343444;1;0;Ресторан Basic;;;;;;
298790001378622;Три тополя 1;55,179035;61,318794;3.61367384451733;Ресторан, бар, отель213;5,792753817;0;0,2;Непивная ХоРеКа;4;;;;;
298790001380285;Best Шаурма;55,195;61,322426;1.82930458551078;Ресторан, бар, отель213;3,567130731;0;0,2;Непивная ХоРеКа;6;;;;;
298790001369657;Впиве;55,165619;61,388047;6.18849017960547;Бирбутики312;6,194219146;0;0,000925745;Бирбутики;1;;;;;
298790001377857;Всегда пятница;55,208204;61,273726;5.95839645196362;Пивная(кеги)323;20,61630676;0;0,2;Бирбутики;10;;13,13371918;;;
298790001374480;Шаурма;55,174698;61,398045;1.24550013930827;Ресторан, бар, отель203;5,625179694;0;0,2;Фаст Фуд Basic;3;;;;;
294520800838455;Ариант;55,1325287;61,46860044;13.9817904002864;ПродуктСО403;13,9817904;1;0;Непивная ТТ Off;;;;;;
298790001381185;Танк и Хоппер;55,208291;61,30414;20.960111740159;Пивная(кеги)303;21,36316057;0;0,019229327;Бирбутики;9;;;;;
298790001375574;Продукты 24;55,238413;61,328047;3.45793019116901;ПродуктЧрПрил301;7,032002018;0;0,2;Торговля через прилавок;10;;;;;
298790001376013;Продукты;55,240627;61,36777;4.61248827825368;ПродуктЧрПрил303;7,479084088;0;0,2;Торговля через прилавок;5;;;;;
298790001388037;Ташкент;55,086775;61,388387;0.907563073429741;Ресторан, бар, отель201;1,639741533;0;0,2;Непивная ХоРеКа;7;;;;;
298790001382337;Уральский Пивовар;55,1701;61,463997;11.5427088358042;Пивная(кеги)323;26,20061914;0;0,2;Бирбутики;10;;;;;
298790001382620;Ип Маслов ДА;55,110671;61,328919;715.686978639668;ПродуктЧрПрил303;715,6869786;1;0;Торговля через прилавок;;;;;;
298790001390357;ИП Крестникова (м-н Продукты);55,239976;61,305183;1.42452938107959;ПродуктЧрПрил303;4,291125191;0;0,2;Торговля через прилавок;6;;;;;
298790001382878;Монетка;55,191887;61,484608;0.662310116936877;ПродуктСО513;30,31244847;0;0,2;Конвиниенс;10;;29;35;;
