код ТТ;Название ТТ;Широта;Долгота;Продажи;Кластер;Нов продажи с корректировкой 25;Топ/аут;Потенциал продаж;Субканал (формат);Ассортимент,добавить sku:;Цена, снизить sku:;Выкладка на ХП, добавить:;Выкладка на ТП, добавить:;Оборудование, добавить:;ДМП, добавить:
2,9879E+14;Магнит Голова;55,1630383;61,4111925;67.9097138034018;ПродуктСО422;74,70068518;0;0.1;Конвиниенс;;;29;;;
2,9879E+14;Магнит Пионерка;55,03615901;61,36921585;102.778819550394;ПродуктСО523;112,8544541;0;0.098032207;Конвиниенс;5;;25;35;;
2,9879E+14;Магнит Титония;55,1852823;61,4200258;86.5036455364663;ПродуктСО523;112,8544541;0;0.2;Конвиниенс;3;;29;;;
2,9879E+14;Магнит Периодика;55,17193453;61,41615886;110.946341787472;ПродуктСО513;110,9463418;1;0;Конвиниенс;;;;;;
2,9879E+14;Магнит Челяба;55,18622;61,43587;117.750804956695;ПродуктСО523;117,750805;1;0;Конвиниенс;;;;;;
2,9879E+14;Магнит Новыйузень;55,17989;61,43552;84.4359193855459;ПродуктСО513;98,83379452;0;0.2;Конвиниенс;;;10;;;
N*551752822;Магнит Лиондор;55,1761888;61,4279018;152.288383632586;ПродуктСО523;152,2883836;1;0;Конвиниенс;;;;;;
N*551754255;Магнит Лежак;55,1693227;61,4157383;78.1664880038164;ПродуктСО523;112,8544541;0;0.2;Конвиниенс;3;;29;29;;
2,9879E+14;Пятёрочка;55,25767;61,402195;66.4980814058736;ПродуктСО413;82,35002502;0;0.2;Конвиниенс;10;;4;8;;
1911062534;Магнит Румянцева;55,25135422;61,38030243;164.37939432129;ПродуктСО423;164,3793943;1;0;Конвиниенс;;;;;;
2,9879E+14;Магнит Прасковья;55,245555;61,3970171;122.390959357934;ПродуктСО523;122,3909594;1;0;Конвиниенс;;;;;;
2,9879E+14;Магнит Трапезарь;55,250544;61,3972366;101.45282775234;ПродуктСО523;112,8544541;0;0.112383525;Конвиниенс;;;2;;;9
2,9879E+14;Магнит Шарлоттхарбор;55,246216;61,387856;198.467408937722;ПродуктСО523;198,4674089;1;0;Конвиниенс;;;;;;
