код ТТ;Название ТТ;Широта;Долгота;Продажи;Кластер;Нов продажи с корректировкой 25;Топ/аут;Потенциал продаж;Субканал (формат)
N295625;Пятерочка;55,16720906;61,44673973;77.80691002;ПродуктСО514;98,11505732;0;0.261006989;Конвиниенс
2,94521E+14;Пятерочка;55,1892139;61,3252963;126.8628119;ПродуктСО513;126,8628119;1;0;Конвиниенс
2,94521E+14;Пятерочка;55,18746908;61,33205619;97.39034696;ПродуктСО513;98,83379452;0;0.014821259;Конвиниенс
N12166834;Пятерочка;55,17540153;61,34707153;258.3032107;ПродуктСО423;258,3032107;1;0;Конвиниенс
2,9879E+14;Пятерочка;55,17560094;61,33507732;113.6953529;ПродуктСО413;113,6953529;1;0;Конвиниенс
2,9879E+14;Пятерочка;55,17995641;61,32010594;75.42487612;ПродуктСО413;82,35002502;0;0.091815184;Конвиниенс
2,9452E+14;Пятерочка;55,18099976;61,33360291;69.66001668;ПродуктСО413;82,35002502;0;0.182170619;Конвиниенс
2,9879E+14;Пятерочка;55,15104333;61,36812667;75.03761433;ПродуктСО513;98,83379452;0;0.317123357;Конвиниенс
2,9879E+14;Пятерочка;55,179317;61,323143;56.9457807;ПродуктСО423;91,91328614;0;0.614049101;Конвиниенс
96798118;Пятерочка;55,16407013;61,2976265;52.88391629;ПродуктСО503;52,88391629;1;0;Конвиниенс
N29561733;Пятерочка;55,1770402;61,33219705;48.39384908;ПродуктСО413;82,35002502;0;0.701663054;Конвиниенс
N29561841;Пятерочка;55,15428581;61,25423784;75.64448886;ПродуктСО410;111,1656764;0;0.46958064;Конвиниенс
N295619;Пятерочка;55,1628203;61,2923407;39.71967069;ПродуктСО504;45,45605367;0;0.144421715;Конвиниенс
2,9452E+14;Пятерочка;55,1777218;61,4489707;123.3915796;ПродуктСО513;123,3915796;1;0;Конвиниенс
2,9879E+14;Пятерочка;55,16031585;61,42540544;82.83981942;ПродуктСО412;82,83981942;1;0;Конвиниенс
2,9879E+14;Пятерочка;55,11372;61,358974;128.6536249;ПродуктСО413;128,6536249;1;0;Конвиниенс
2,9879E+14;Пятерочка;55,17706169;61,43735703;89.49268059;ПродуктСО423;116,5583515;0;0.302434464;Конвиниенс
1911017499;Пятерочка;55,24135152;61,3788205;140.36223;ПродуктСО513;140,36223;1;0;Конвиниенс
2,94521E+14;Пятерочка;55,24444235;61,37259795;171.9798522;ПродуктСО513;171,9798522;1;0;Конвиниенс
2,9452E+14;Пятерочка;55,2488377;61,40072376;43.56665531;ПродуктСО513;73,21679367;0;0.680569535;Конвиниенс
1911017505;Пятерочка;55,25886063;61,39072951;62.5897742;ПродуктСО413;82,35002502;0;0.315710531;Конвиниенс
2,9452E+14;Пятерочка;55,1727083;61,29326172;114.9656239;ПродуктСО513;114,9656239;1;0;Конвиниенс
2,9452E+14;Пятерочка;55,18352915;61,2921771;148.9051527;ПродуктСО413;148,9051527;1;0;Конвиниенс
2,9452E+14;Пятерочка;55,18650456;61,29983146;112.138176;ПродуктСО513;112,138176;1;0;Конвиниенс
